#	FP3109  TIM-JPL 33cm-1 LPE	29 Mar 2022		
46.372774	0.001363302182			
46.435271	0.001388984708			
46.497768	0.00133551403			
46.560265	0.001353152952			
46.622762	0.001371201577			
46.685259	0.001231659512			
46.747756	0.0009931660917			
46.810253	0.0009303408307			
46.87275	0.001181619857			
46.935247	0.001532687944			
46.997744	0.001656251999			
47.060241	0.001491059658			
47.122738	0.001259282983			
47.185235	0.001137606983			
47.247732	0.001070588373			
47.310229	0.0009195486094			
47.372726	0.0006679553153			
47.435223	0.0004316430376			
47.49772	0.0003276784514			
47.560217	0.0003871785366			
47.622714	0.0005639420501			
47.685211	0.000771850586			
47.747708	0.000916171248			
47.810205	0.000928781963			
47.872702	0.0008063279122			
47.935199	0.0006282205849			
47.997696	0.0005255945205			
48.060193	0.0005899063982			
48.12269	0.0007810497663			
48.185187	0.0009450353986			
48.247684	0.0009544787043			
48.310181	0.000824071464			
48.372678	0.0006683061058			
48.435175	0.0005717496056			
48.497672	0.000530626067			
48.560169	0.0004996415073			
48.622666	0.0004511768299			
48.685163	0.0003920083427			
48.74766	0.0003663752328			
48.810157	0.0004493239581			
48.872654	0.0006887104575			
48.935151	0.001016956662			
48.997648	0.00125461993			
49.060145	0.001250608834			
49.122642	0.001021133093			
49.185139	0.0007432884999			
49.247636	0.000600307271			
49.310133	0.0006144866513			
49.37263	0.0006429437298			
49.435127	0.0005504008193			
49.497624	0.0003732922658			
49.560121	0.0003008552053			
49.622618	0.0004792270546			
49.685115	0.0008207307759			
49.747612	0.001055773697			
49.810109	0.001012215617			
49.872606	0.0007834019169			
49.935103	0.0005989354247			
49.9976	0.0005809001753			
50.060097	0.0006657391509			
50.122594	0.0007385208607			
50.185091	0.0007547890676			
50.247588	0.0007183588033			
50.310085	0.0006361943772			
50.372582	0.0005512515658			
50.435079	0.0005608561367			
50.497576	0.0007153247446			
50.560073	0.0009151317941			
50.62257	0.000993273072			
50.685067	0.0009118836974			
50.747564	0.0008271429432			
50.810061	0.000920245382			
50.872558	0.001181122443			
50.935055	0.001418169662			
50.997552	0.00146445229			
51.060049	0.001300781386			
51.122546	0.001007320128			
51.185043	0.0007026952971			
51.24754	0.0005534154375			
51.310037	0.0007184136105			
51.372534	0.001153437261			
51.435031	0.001516910572			
51.497528	0.001440227169			
51.560025	0.0009511336938			
51.622522	0.0005014177529			
51.685019	0.0004841926936			
51.747516	0.0008256199708			
51.810013	0.00114768465			
51.87251	0.001229177282			
51.935007	0.001179905295			
51.997504	0.001201732653			
52.060001	0.001303442263			
52.122498	0.001327582608			
52.184995	0.001191298374			
52.247492	0.0009789908086			
52.309989	0.0008211781005			
52.372486	0.0007602452628			
52.434983	0.0007312511079			
52.49748	0.0006466873791			
52.559977	0.0004984117496			
52.622474	0.0003735287995			
52.684971	0.0003592434725			
52.747468	0.0004353040797			
52.809965	0.0004895325688			
52.872462	0.0004585847267			
52.934959	0.0004124981709			
52.997456	0.0004658232954			
